# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,30,-25,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,30,-25,0,0.01,-250,-3.13282,21.2637,0.630703,6.81564,22.4687,2.51636,24.9851,0.127694,0.91892,0.761215,0.758275
3,30,-25,0,0.01,-500,-12.3319,88.6739,9.70479,32.6543,111.131,-9.7866,101.344,0.487982,3.73613,3.07206,3.07036
4,30,-25,0,0.01,-750,-27.4493,202.333,29.7481,78.1883,266.531,-15.5987,250.932,1.07917,8.42521,6.89117,6.88926
5,30,-25,0,0.01,-1000,-48.2514,362.869,60.5838,143.162,489.724,-26.7683,462.956,1.89219,14.9888,12.1745,12.1719
6,30,-25,0,250,-0.01,29.6645,-5.46702,13.8894,-2.17106,31.351,-1.06898,30.282,-1.42012,-0.115924,-1.12382,-1.12689
7,30,-25,0,250,-250,28.7699,17.3608,13.5053,2.6732,58.0034,-2.55604,55.4474,-1.43503,0.979715,-0.338327,-0.34158
8,30,-25,0,250,-500,16.8328,94.9425,21.1397,27.2458,151.08,-12.4452,138.634,-1.08616,4.18248,2.29788,2.2961
9,30,-25,0,250,-750,-2.64235,214.839,46.3294,67.055,305.84,-18.061,287.779,-0.226799,9.03399,6.43843,6.43654
10,30,-25,0,250,-1000,-25.6556,379.411,80.9895,125.665,525.818,-29.038,496.78,0.849032,15.7129,11.9601,11.9576
11,30,-25,0,500,-0.01,121.88,-20.4673,66.7882,-5.63624,149.56,-23.5077,126.053,-5.75134,-0.418609,-4.57217,-4.57405
12,30,-25,0,500,-250,123.489,-15.3243,62.4984,-1.63148,156.826,-23.0178,133.808,-5.81878,-0.153343,-4.50665,-4.50857
13,30,-25,0,500,-500,119.279,76.8206,66.6694,15.7243,266.23,-23.9825,242.248,-5.82095,4.10029,-1.27793,-1.28002
14,30,-25,0,500,-750,103.005,209.982,82.0133,58.5953,436.179,-28.3175,407.861,-5.51113,9.59918,3.15292,3.15077
15,30,-25,0,500,-1000,72.6419,389.402,105.747,123.97,656.919,-36.7679,620.151,-4.51294,16.7613,9.07709,9.07446
16,30,-25,0,750,-0.01,273.183,-43.6871,156.073,-10.2495,347.259,-45.1003,302.159,-12.8269,-0.854003,-9.98065,-9.98279
17,30,-25,0,750,-250,276.704,-42.7901,151.071,-6.70136,350.909,-44.7846,306.125,-12.9644,-0.825382,-9.90567,-9.90781
18,30,-25,0,750,-500,274.344,22.7094,154.915,8.18052,432.33,-46.1169,386.213,-12.9948,2.33608,-7.94267,-7.94496
19,30,-25,0,750,-750,268.796,183.195,161.699,40.1679,628.048,-48.7862,579.262,-13.0399,9.51797,-2.49554,-2.49813
20,30,-25,0,750,-1000,251.222,370.487,183.204,101.138,874.603,-56.8941,817.709,-12.8436,17.2823,3.20997,3.20694
21,30,-25,0,1000,-0.01,486.896,-75.7557,283.379,-18.9758,623.717,-77.636,546.081,-22.7361,-1.37433,-17.3033,-17.3061
22,30,-25,0,1000,-250,490.47,-70.3468,279.735,-14.3161,637.357,-77.7333,559.624,-22.9222,-0.933682,-17.1712,-17.174
