# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P3 - Vx (km hr^-1) ,P4 - n1 (rev min^-1) ,P5 - n2 (rev min^-1) ,P6 - r1-op (N) ,P7 - r2-op (N) ,P8 - rx_ring1-op (N) ,P9 - rx_ring2-op (N) ,P10 - rx_wmg-op (N) ,P11 - rx_body-op (N) ,P12 - rx_sum-op (N) ,P13 - mx1-op (J) ,P14 - mx2-op (J) ,P15 - mx_wmg-op (J) ,P16 - mx_sum-op (J) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
0,35.0,-25.0,0.0,750,-750,313.996,174.902,208.216,27.5266,692.76,-51.8297,640.93,-17.3273,9.41937,-5.46012,-5.46397
1,35.0,-25.0,0.0,750,-1000,310.23,370.073,226.397,82.7254,954.088,-58.6938,895.394,-17.643,17.5613,0.337155,0.332798
2,35.0,-25.0,0.0,750,-1250,292.279,618.383,259.254,162.171,1280.59,-69.4524,1211.14,-17.4955,27.4582,8.12623,8.12118
3,35.0,-25.0,0.0,750,-1500,258.113,903.381,296.129,261.044,1649.06,-81.1046,1567.96,-16.4652,38.6671,16.5069,16.501
4,35.0,-25.0,0.0,1000,-750,554.655,86.0069,380.561,18.9758,978.601,-92.526,886.075,-30.2968,6.56846,-17.3281,-17.3328
5,35.0,-25.0,0.0,1000,-1000,556.626,316.327,387.851,51.797,1256.91,-96.4772,1160.44,-30.7108,16.8227,-9.58831,-9.59336
6,35.0,-25.0,0.0,1000,-1250,555.616,576.85,406.224,121.18,1600.31,-104.286,1496.02,-31.2261,27.6965,-1.24797,-1.25365
7,35.0,-25.0,0.0,1000,-1500,541.485,889.747,444.179,220.294,2018.73,-116.739,1901.99,-31.4632,40.2516,7.73662,7.73015
8,35.0,-25.0,0.0,1250,-750,865.692,-25.2869,604.774,10.2128,1362.07,-143.985,1218.09,-47.007,2.6759,-31.9995,-32.0051
9,35.0,-25.0,0.0,1250,-1000,865.175,202.422,611.678,41.5427,1626.07,-147.972,1478.1,-47.3192,13.2916,-24.5657,-24.5717
10,35.0,-25.0,0.0,1250,-1250,866.899,499.89,622.212,83.6784,1986.39,-152.965,1833.43,-47.8204,26.3819,-14.704,-14.7105
11,35.0,-25.0,0.0,1250,-1500,868.121,827.082,641.426,163.558,2410.38,-161.555,2248.83,-48.5063,40.0234,-3.97615,-3.98338
12,35.0,-25.0,0.0,1500,-750,1246.6,-137.827,876.216,-0.195801,1852.32,-205.742,1646.58,-67.4075,-1.03267,-49.353,-49.3598
13,35.0,-25.0,0.0,1500,-1000,1241.31,64.9076,887.814,31.0723,2090.38,-209.613,1880.77,-67.4652,8.50703,-42.7911,-42.7982
14,35.0,-25.0,0.0,1500,-1250,1244.41,361.758,897.471,70.8215,2440.48,-215.03,2225.45,-68.1501,22.2315,-32.8658,-32.8734
15,35.0,-25.0,0.0,1500,-1500,1246.25,724.815,910.561,122.67,2881.64,-220.927,2660.71,-68.759,38.0654,-20.5079,-20.5161
16,35.0,-25.0,2.5,750,-750,315.046,168.062,173.829,21.0747,646.462,-71.8026,574.659,-17.357,9.21222,-5.62004,-5.62247
17,35.0,-25.0,2.5,750,-1000,306.845,361.058,192.48,68.932,895.641,-80.8169,814.824,-17.4917,17.2587,-0.0519167,-0.0548335
18,35.0,-25.0,2.5,750,-1250,283.144,610.338,219.508,142.878,1207.27,-94.2902,1112.98,-16.9936,27.1697,7.54282,7.53908
19,35.0,-25.0,2.5,750,-1500,250.625,895.954,252.275,236.9,1567.16,-107.556,1459.6,-16.0593,38.4134,16.4733,16.4689
20,35.0,-25.0,2.5,1000,-750,557.894,81.3363,330.955,11.518,920.373,-115.58,804.793,-30.3616,6.4102,-17.5612,-17.5646
21,35.0,-25.0,2.5,1000,-1000,559.395,311.262,337.544,41.2753,1194.64,-121.086,1073.55,-30.7705,16.6872,-9.59471,-9.5985
22,35.0,-25.0,2.5,1000,-1250,554.537,566.635,357.465,106.849,1526.8,-131.3,1395.5,-31.1744,27.3748,-1.7728,-1.77712
23,35.0,-25.0,2.5,1000,-1500,535.843,877.647,394.548,198.457,1932.25,-146.216,1786.03,-31.1868,39.8231,7.2197,7.21463
24,35.0,-25.0,2.5,1250,-750,868.998,-29.8426,542.793,4.93081,1294.26,-171.182,1123.07,-47.0635,2.49011,-32.1821,-32.1868
25,35.0,-25.0,2.5,1250,-1000,868.988,197.932,548.42,31.4809,1552.62,-176.167,1376.45,-47.3915,13.1344,-24.8008,-24.8058
26,35.0,-25.0,2.5,1250,-1250,870.503,494.95,557.605,69.8497,1908.07,-182.697,1725.37,-47.8763,26.2446,-14.6262,-14.6315
27,35.0,-25.0,2.5,1250,-1500,868.734,816.841,577.365,149.086,2322.88,-193.683,2129.19,-48.501,39.7194,-4.32857,-4.33447
28,35.0,-25.0,2.5,1500,-750,1249.52,-143.892,804.084,-2.89034,1775.26,-237.262,1537.99,-67.4395,-1.26632,-49.6259,-49.6318
29,35.0,-25.0,2.5,1500,-1000,1246.18,55.5138,815.631,23.2039,2005.94,-242.931,1763.01,-67.6584,8.15499,-43.1553,-43.1615
30,35.0,-25.0,2.5,1500,-1250,1246.63,357.133,822.749,58.4318,2351.49,-248.839,2102.65,-68.0894,22.0677,-32.9368,-32.9434
31,35.0,-25.0,2.5,1500,-1500,1248.39,720.887,835.109,105.85,2787.79,-256.406,2531.38,-68.6785,37.9558,-20.7824,-20.7895
32,35.0,-25.0,5.0,750,-750,312.011,146.703,122.022,3.11634,557.177,-116.972,440.205,-17.2841,8.45693,-6.3726,-6.36316
33,35.0,-25.0,5.0,750,-1000,299.062,341.487,134.695,42.5339,790.436,-127.997,662.439,-17.1817,16.6372,-0.524913,-0.516141
34,35.0,-25.0,5.0,750,-1250,274.116,592.18,153.559,107.836,1085.33,-142.566,942.762,-16.6088,26.6126,7.5062,7.51399
35,35.0,-25.0,5.0,750,-1500,239.098,878.949,178.934,192.542,1426.81,-159.499,1267.32,-15.4915,37.9061,16.3048,16.3116
36,35.0,-25.0,5.0,1000,-750,563.54,64.3659,250.522,-6.20994,815.202,-164.516,650.687,-30.5323,5.83554,-18.0418,-18.0339
37,35.0,-25.0,5.0,1000,-1000,560.469,288.757,260.192,22.627,1081.41,-172.84,908.57,-30.8275,15.9611,-10.354,-10.3466
38,35.0,-25.0,5.0,1000,-1250,548.903,541.541,279.904,75.6155,1393.61,-185.357,1208.25,-30.9551,26.5595,-2.89796,-2.89131
39,35.0,-25.0,5.0,1000,-1500,524.851,854.269,308.433,156.94,1777.43,-202.316,1575.12,-30.6852,39.0395,6.7894,6.79507
40,35.0,-25.0,5.0,1250,-750,875.476,-49.0705,439.046,-12.1773,1164.26,-225.402,938.857,-47.2128,1.82151,-32.4108,-32.4047
41,35.0,-25.0,5.0,1250,-1000,876.543,183.457,442.164,9.58246,1421.63,-231.659,1189.97,-47.5893,12.6587,-25.2353,-25.2295
42,35.0,-25.0,5.0,1250,-1250,875.849,475.252,451.338,47.2142,1769.32,-240.583,1528.73,-48.0523,25.6743,-15.0287,-15.0235
43,35.0,-25.0,5.0,1250,-1500,867.161,789.707,474.188,116.651,2163.58,-254.423,1909.16,-48.4411,38.8729,-5.70257,-5.69818
44,35.0,-25.0,5.0,1500,-750,1255.73,-160.139,680.251,-21.0069,1626.19,-298.079,1328.11,-67.5622,-1.78407,-50.027,-50.0228
45,35.0,-25.0,5.0,1500,-1000,1255.1,37.543,683.889,3.34108,1849.21,-303.94,1545.27,-67.8678,7.51949,-43.5501,-43.5464
46,35.0,-25.0,5.0,1500,-1250,1256.47,342.352,689.17,32.7499,2191.63,-311.298,1880.33,-68.3488,21.578,-33.5679,-33.5646
47,35.0,-25.0,5.0,1500,-1500,1257.31,703.71,699.475,75.9006,2619.64,-320.775,2298.86,-68.9385,37.4817,-20.8973,-20.8945
