,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,35.0,-30.0,0.0,750,-750,312.671,259.881,212.704,62.9775,810.553,-41.028,769.525,-17.5398,14.9081,-2.42981,-2.43997
1,35.0,-30.0,0.0,750,-1000,293.158,488.694,248.821,156.694,1136.89,-53.9611,1082.93,-17.411,25.6536,5.36631,5.35545
2,35.0,-30.0,0.0,750,-1250,255.997,775.035,290.309,273.961,1514.94,-68.63,1446.31,-16.3401,38.7632,16.4907,16.479
3,35.0,-30.0,0.0,750,-1500,211.778,1117.82,343.493,411.719,1975.47,-86.8754,1888.6,-14.7577,54.2563,29.5453,29.5326
4,35.0,-30.0,0.0,1000,-750,556.894,207.078,376.823,46.1688,1128.24,-81.6535,1046.59,-30.5995,13.681,-12.4905,-12.5014
5,35.0,-30.0,0.0,1000,-1000,556.241,471.613,395.474,117.362,1476.79,-90.3732,1386.42,-31.1426,26.8253,-3.91854,-3.93003
6,35.0,-30.0,0.0,1000,-1250,537.82,770.576,441.583,241.365,1913.21,-106.683,1806.53,-31.3545,40.8518,5.48381,5.47143
7,35.0,-30.0,0.0,1000,-1500,501.869,1115.16,498.368,387.315,2386.92,-125.312,2261.6,-30.6921,56.7957,19.4533,19.4399
8,35.0,-30.0,0.0,1250,-750,864.793,109.303,598.846,36.4341,1515.18,-134.646,1380.53,-47.1977,9.59144,-28.3397,-28.3516
9,35.0,-30.0,0.0,1250,-1000,867.054,408.016,610.97,91.8437,1890.35,-141.887,1748.47,-47.7853,25.5789,-15.0215,-15.0339
10,35.0,-30.0,0.0,1250,-1250,867.094,747.424,634.767,186.177,2337.46,-152.476,2184.99,-48.5113,42.2391,-5.40406,-5.41717
11,35.0,-30.0,0.0,1250,-1500,850.408,1119.05,687.868,336.44,2878.67,-170.692,2707.98,-49.0067,59.6881,5.60105,5.58698
12,35.0,-30.0,0.0,1500,-750,1241.77,8.39289,875.298,24.4029,2018.88,-198.814,1820.07,-67.489,5.23924,-45.9005,-45.9135
13,35.0,-30.0,0.0,1500,-1000,1243.53,288.087,884.284,80.829,2361.94,-205.704,2156.23,-68.1107,20.9405,-35.9077,-35.9211
14,35.0,-30.0,0.0,1500,-1250,1245.65,672.272,901.003,151.709,2844.6,-214.154,2630.44,-68.8116,40.9371,-18.5591,-18.5732
15,35.0,-30.0,0.0,1500,-1500,1246.33,1085.66,929.021,268.672,3391.01,-226.297,3164.71,-69.7116,61.0562,-6.65064,-6.6655
16,35.0,-30.0,2.5,750,-750,310.551,251.448,181.689,51.3332,755.471,-45.2792,710.191,-17.4485,14.5299,-2.43972,-2.45419
17,35.0,-30.0,2.5,750,-1000,286.967,483.562,212.756,138.477,1067.58,-61.0114,1006.57,-17.0855,25.4211,5.48096,5.46614
18,35.0,-30.0,2.5,750,-1250,247.311,766.086,245.613,251.992,1421.26,-34.8485,1386.41,-15.8779,38.4386,16.4425,16.4109
19,35.0,-30.0,2.5,750,-1500,204.481,1111.09,300.093,385.949,1889.2,-96.3786,1792.83,-14.3541,54.0573,29.4104,29.3929
20,35.0,-30.0,2.5,1000,-750,558.905,202.331,330.955,36.5823,1068.71,-89.6158,979.097,-30.6301,13.4777,-12.6627,-12.6779
21,35.0,-30.0,2.5,1000,-1000,555.13,463.436,350.128,103.18,1406.5,-98.9389,1307.56,-31.0845,26.4758,-4.20497,-4.22091
22,35.0,-30.0,2.5,1000,-1250,532.263,761.8,394.297,218.876,1827.81,-115.906,1711.9,-31.0695,40.4536,5.6097,5.59242
23,35.0,-30.0,2.5,1000,-1500,486.779,1111.11,443.959,360.881,2286.61,-138.802,2147.81,-29.8216,56.6053,18.5613,18.5445
24,35.0,-30.0,2.5,1250,-750,868.614,103.21,541.259,28.6544,1445.81,-146.889,1298.93,-47.2768,9.32362,-28.5675,-28.5834
25,35.0,-30.0,2.5,1250,-1000,870.326,403.577,552.462,79.5719,1815.84,-155.764,1660.08,-47.8301,25.4225,-15.764,-15.7799
26,35.0,-30.0,2.5,1250,-1250,866.989,737.12,576.836,171.334,2253.6,-166.94,2086.66,-48.479,41.836,-6.11115,-6.12813
27,35.0,-30.0,2.5,1250,-1500,844.654,1107.05,630.461,316.411,2781.92,-188.498,2593.42,-48.7646,59.1209,5.39069,5.37292
28,35.0,-30.0,2.5,1500,-750,1246.41,3.86423,806.372,17.2766,1942.3,-216.873,1725.43,-67.5974,5.0162,-46.2602,-46.2762
29,35.0,-30.0,2.5,1500,-1000,1245.74,283.464,816.6,69.5954,2278.95,-223.745,2055.2,-68.057,20.7455,-35.8333,-35.8503
30,35.0,-30.0,2.5,1500,-1250,1249.79,666.479,829.647,137.409,2757.18,-235.926,2521.25,-68.8683,40.7462,-18.8672,-18.8834
31,35.0,-30.0,2.5,1500,-1500,1246.04,1075.26,861.32,252.596,3296.01,-250.032,3045.98,-69.641,60.6903,-7.89349,-7.91079
32,35.0,-30.0,5.0,750,-750,304.531,232.528,129.513,29.0063,667.331,-120.955,546.376,-17.2309,13.7707,-2.74123,-2.73342
33,35.0,-30.0,5.0,750,-1000,279.67,459.042,150.27,104.166,956.464,-138.144,818.319,-16.7634,24.5619,5.52664,5.53378
34,35.0,-30.0,5.0,750,-1250,237.438,752.518,180.57,211.738,1311.12,-158.546,1152.57,-15.4108,38.0041,16.1672,16.1733
35,35.0,-30.0,5.0,750,-1500,192.488,1096.86,225.322,334.033,1746.06,-182.113,1563.95,-13.73,53.6577,29.1352,29.1397
36,35.0,-30.0,5.0,1000,-750,561.387,183.023,256.111,14.664,963.965,-167.646,796.318,-30.7097,12.5997,-14.7311,-14.7246
37,35.0,-30.0,5.0,1000,-1000,550.576,440.038,276.858,73.2457,1286.39,-179.86,1106.53,-30.9193,25.5074,-4.49611,-4.4908
38,35.0,-30.0,5.0,1000,-1250,521.247,743.549,312.005,177.89,1686.8,-201.169,1485.63,-30.5604,39.7446,5.7644,5.76889
39,35.0,-30.0,5.0,1000,-1500,471.875,1094.19,351.387,310.015,2122.06,-218.472,1903.59,-29.0857,55.966,18.4931,18.495
40,35.0,-30.0,5.0,1250,-750,875.648,87.7181,441.152,7.91019,1326.14,-228.02,1098.12,-47.4845,8.65392,-29.2119,-29.2073
41,35.0,-30.0,5.0,1250,-1000,875.312,382.835,451.08,53.932,1683.5,-234.118,1449.39,-48.0028,24.5672,-17.7535,-17.7509
42,35.0,-30.0,5.0,1250,-1250,865.185,712.132,477.73,135.237,2102.45,-251.347,1851.1,-48.423,40.8205,-6.6779,-6.67532
43,35.0,-30.0,5.0,1250,-1500,835.044,1084.51,526.365,266.929,2606.11,-274.402,2331.7,-48.3067,58.1759,5.94935,5.95038
44,35.0,-30.0,5.0,1500,-750,1254.44,-9.91054,682.171,-0.864985,1802.35,-298.265,1504.08,-67.7766,4.44007,-46.3767,-46.3749
45,35.0,-30.0,5.0,1500,-1000,1255.79,268.56,689.018,43.1799,2129.76,-308.22,1821.54,-68.3253,20.1132,-36.3978,-36.3961
46,35.0,-30.0,5.0,1500,-1250,1256.22,646.385,703.126,107.642,2592.58,-315.988,2276.59,-69.022,39.9941,-21.8525,-21.8528
47,35.0,-30.0,5.0,1500,-1500,1246.49,1047.26,735.19,213.722,3113.23,-333.438,2779.8,-69.6488,59.6074,-9.30465,-9.30585
48,35.0,-30.0,7.5,750,-750,297.728,206.73,79.2945,5.5772,560.357,-118.928,441.429,-17.0183,12.7219,-3.07741,-3.07146
49,35.0,-30.0,7.5,750,-1000,270.294,437.595,91.4738,71.9385,834.076,-138.02,696.055,-16.3962,23.8562,4.71024,4.71521
50,35.0,-30.0,7.5,750,-1250,227.362,733.579,113.861,167.459,1171.26,-161.702,1009.56,-14.972,37.4306,15.8412,15.8449
51,35.0,-30.0,7.5,750,-1500,178.03,1076.04,158.122,281.063,1588.16,-191.371,1396.79,-13.0046,53.0906,28.7069,28.7087
52,35.0,-30.0,7.5,1000,-750,559.737,154.076,191.161,-9.69424,842.069,-170.649,671.42,-30.714,11.2125,-15.4875,-15.4831
53,35.0,-30.0,7.5,1000,-1000,543.493,410.287,205.248,42.1769,1146.39,-185.387,961.006,-30.6797,24.3129,-4.90079,-4.89785
54,35.0,-30.0,7.5,1000,-1250,511.488,712.009,229.089,134.268,1520.21,-207.497,1312.71,-30.1251,38.6795,5.30262,5.30431
55,35.0,-30.0,7.5,1000,-1500,458.354,1073.59,261.227,258.459,1947.83,-230.279,1717.56,-28.4862,55.276,18.318,18.3174
56,35.0,-30.0,7.5,1250,-750,882.992,64.0578,347.642,-17.3401,1190.36,-234.507,955.858,-47.7459,7.54134,-30.9264,-30.9245
57,35.0,-30.0,7.5,1250,-1000,877.687,351.485,359.689,21.5624,1527.2,-244.638,1282.57,-48.1179,23.1499,-20.248,-20.2477
58,35.0,-30.0,7.5,1250,-1250,860.403,678.404,384.871,95.9839,1931.47,-263.857,1667.61,-48.2673,39.4537,-7.14424,-7.14497
59,35.0,-30.0,7.5,1250,-1500,826.005,1041.16,420.552,211.829,2399.03,-289.074,2109.96,-47.842,56.7408,5.49404,5.49201
60,35.0,-30.0,7.5,1500,-750,1266.94,-29.467,562.089,-25.0847,1648.56,-311.125,1337.43,-68.2051,3.63976,-47.1866,-47.1879
61,35.0,-30.0,7.5,1500,-1000,1266.15,243.896,568.308,12.53,1963.4,-322.421,1640.98,-68.6791,19.0365,-37.9761,-37.9776
62,35.0,-30.0,7.5,1500,-1250,1261.76,612.665,584.522,71.1631,2411.93,-332.801,2079.13,-69.2434,38.5753,-23.6473,-23.6512
63,35.0,-30.0,7.5,1500,-1500,1245.13,1012.35,617.328,166.798,2912.45,-354.761,2557.69,-69.6112,58.2087,-9.65071,-9.65539
64,35.0,-30.0,10.0,750,-750,284.176,170.127,39.5403,-13.6597,450.188,-116.07,334.118,-16.6108,11.1707,-3.51209,-3.50669
65,35.0,-30.0,10.0,750,-1000,260.454,407.818,41.6231,37.6938,710.26,-135.105,575.154,-16.0239,22.8075,4.02916,4.03355
66,35.0,-30.0,10.0,750,-1250,216.091,700.938,57.9426,122.437,1029.12,-161.795,867.32,-14.4556,36.3391,15.4918,15.4947
67,35.0,-30.0,10.0,750,-1500,163.083,1051.65,105.636,220.394,1433.28,-198.151,1235.13,-12.2436,52.4214,28.2407,28.2414
68,35.0,-30.0,10.0,1000,-750,549.189,119.827,137.993,-28.7631,721.975,-173.002,548.973,-30.5311,9.6157,-15.2284,-15.2251
69,35.0,-30.0,10.0,1000,-1000,534.417,374.16,140.293,11.2628,1004.36,-186.454,817.906,-30.3967,22.8383,-5.46029,-5.45835
70,35.0,-30.0,10.0,1000,-1250,499.83,676.552,155.737,94.0272,1360.07,-210.611,1149.46,-29.6686,37.4492,4.51125,4.51178
71,35.0,-30.0,10.0,1000,-1500,445.085,1046.97,180.168,207.765,1777.95,-237.879,1540.07,-27.9378,54.4284,18.2314,18.2298
72,35.0,-30.0,10.0,1250,-750,881.725,41.152,274.631,-41.8501,1064.94,-239.468,825.474,-47.8695,6.49421,-30.5896,-30.5891
73,35.0,-30.0,10.0,1250,-1000,873.934,311.297,280.972,-10.2991,1371.24,-251.388,1119.85,-48.0711,21.2844,-21.0157,-21.0165
74,35.0,-30.0,10.0,1250,-1250,851.414,638.828,298.74,57.3913,1757.63,-272.339,1485.29,-47.9778,37.8636,-7.79907,-7.80129
75,35.0,-30.0,10.0,1250,-1500,813.201,1009.05,325.05,164.841,2210.81,-300.233,1910.58,-47.3567,55.6226,4.86363,4.86001
76,35.0,-30.0,10.0,1500,-750,1276.43,-53.3125,458.025,-53.8565,1499.87,-318.8,1181.07,-68.5916,2.62411,-48.7219,-48.7249
77,35.0,-30.0,10.0,1500,-1000,1271.66,205.692,465.762,-19.6086,1795.05,-332.034,1463.02,-68.9471,17.2185,-40.844,-40.8474
78,35.0,-30.0,10.0,1500,-1250,1262.25,570.076,482.073,30.1912,2227.1,-345.509,1881.59,-69.3259,36.6683,-24.8678,-24.8736
79,35.0,-30.0,10.0,1500,-1500,1238.23,968.37,511.265,120.378,2708.71,-371.076,2337.64,-69.3978,56.4431,-10.3095,-10.3163
80,35.0,-30.0,12.5,750,-750,256.386,142.004,10.5947,-33.3859,342.423,-109.337,233.086,-15.6578,9.98728,-2.45802,-2.4557
81,35.0,-30.0,12.5,750,-1000,245.785,367.459,4.8165,6.79259,587.819,-123.347,464.472,-15.4017,21.2813,3.90078,3.90195
82,35.0,-30.0,12.5,750,-1250,203.064,655.523,22.2609,73.3955,898.356,-153.12,745.236,-13.8063,34.845,14.8282,14.8272
83,35.0,-30.0,12.5,750,-1500,148.431,1015.72,63.3115,163.236,1282.17,-193.059,1089.12,-11.4593,51.3301,27.8064,27.8028
84,35.0,-30.0,12.5,1000,-750,526.73,96.5119,97.7545,-48.1337,611.712,-167.019,444.693,-29.9567,8.6102,-13.5392,-13.5399
85,35.0,-30.0,12.5,1000,-1000,518.667,327.964,89.005,-13.9967,863.572,-178.037,685.536,-29.868,20.9003,-5.77175,-5.77337
86,35.0,-30.0,12.5,1000,-1250,486.65,637.113,94.7883,53.9804,1204.55,-201.777,1002.77,-29.136,36.0099,3.89096,3.88767
87,35.0,-30.0,12.5,1000,-1500,435.435,991.418,112.816,156.756,1608.48,-232.915,1375.56,-27.5153,52.6824,17.7017,17.6962
88,35.0,-30.0,12.5,1250,-750,866.057,28.7159,226.546,-63.92,957.834,-239.205,718.628,-47.7228,6.14569,-28.2988,-28.3028
89,35.0,-30.0,12.5,1250,-1000,862.383,264.529,216.333,-35.1357,1219.5,-248.128,971.374,-47.8271,19.1748,-21.2435,-21.2482
90,35.0,-30.0,12.5,1250,-1250,841.007,593.443,222.261,20.3235,1585.46,-268.135,1317.32,-47.6444,36.0326,-8.20224,-8.20829
91,35.0,-30.0,12.5,1250,-1500,798.857,968.624,241.844,119.154,2023.84,-297.363,1726.48,-46.7926,54.1903,3.97077,3.96279
92,35.0,-30.0,12.5,1500,-750,1274.54,-57.8396,389.785,-79.8568,1388.65,-321.777,1066.87,-68.9463,2.76895,-46.7011,-46.7083
93,35.0,-30.0,12.5,1500,-1000,1270.46,170.254,383.641,-51.8086,1640.08,-330.52,1309.56,-69.0808,15.5653,-40.3318,-40.3397
94,35.0,-30.0,12.5,1500,-1250,1257.75,519.036,392.901,-7.75152,2040.87,-348.376,1692.5,-69.2821,34.4088,-26.121,-26.1302
95,35.0,-30.0,12.5,1500,-1500,1228.88,919.926,414.074,75.3597,2505.61,-374.716,2130.9,-69.1261,54.5376,-11.1615,-11.1724
96,35.0,-30.0,15.0,750,-750,196.751,110.535,7.5885,-60.7305,220.44,-123.174,97.266,-13.1385,8.55931,-2.24956,-2.24678
97,35.0,-30.0,15.0,750,-1000,190.206,320.105,3.41313,-24.6979,454.156,-137.581,316.575,-12.9421,19.3977,4.65078,4.65208
98,35.0,-30.0,15.0,750,-1250,181.866,606.841,-2.00044,24.7943,759.165,-153.209,605.955,-12.7493,33.1492,14.4176,14.4173
99,35.0,-30.0,15.0,750,-1500,133.095,955.546,22.7729,104.976,1114.71,-191.405,923.305,-10.5722,49.2767,27.02,27.0171
100,35.0,-30.0,15.0,1000,-750,489.391,63.449,61.8729,-70.2839,480.383,-168.268,312.115,-28.6973,7.04984,-12.8124,-12.8123
