# Design Points of Design of Experiments,,,,,,,,,,,,,,,,
# Custom,,,,,,,,,,,,,,,,
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P3 - Vx (km hr^-1) ,P4 - n1 (rev min^-1) ,P5 - n2 (rev min^-1) ,P6 - r1-op (N) ,P7 - r2-op (N) ,P8 - rx_ring1-op (N) ,P9 - rx_ring2-op (N) ,P10 - rx_wmg-op (N) ,P11 - rx_body-op (N) ,P12 - rx_sum-op (N) ,P13 - mx1-op (J) ,P14 - mx2-op (J) ,P15 - mx_wmg-op (J) ,P16 - mx_sum-op (J) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
1,20,-20,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,20,-20,0,0.01,-250,-2.2721798,15.828586,2.7436876,6.4890461,21.561016,-0.52026147,21.040754,0.057459097,0.62548906,0.002963268,0.37137988
3,20,-20,0,0.01,-500,-8.9668036,70.468399,11.817555,24.838531,92.85704,-3.5137072,89.343338,0.22287531,2.5780871,-0.015717369,1.7849003
4,20,-20,0,0.01,-750,-20.607927,160.23557,27.45442,55.535496,210.54826,-7.8707347,202.67755,0.51477826,5.7816606,-0.00466805,4.2189002
5,20,-20,0,0.01,-1000,-36.484676,285.58676,49.519028,99.704613,377.01797,-13.632043,363.38596,0.9123475,10.227948,-0.016339717,7.6818767
6,20,-20,0,250,-0.01,18.846264,-3.9485502,9.7822857,-0.7241469,22.069244,-2.1609867,19.908257,-0.70409882,-0.079766572,0.005551282,-0.67937553
7,20,-20,0,250,-250,17.109882,12.609591,10.229293,4.2787242,42.56876,-2.5505452,40.018215,-0.67636514,0.62268811,0.003080981,-0.23228595
8,20,-20,0,250,-500,6.3253303,73.161911,16.485294,23.977182,114.22961,-4.9724822,109.25712,-0.43182153,2.7799652,-0.005584664,1.5215192
9,20,-20,0,250,-750,-11.968169,166.84229,33.285053,53.576069,229.03619,-9.1396055,219.89659,0.105636,6.0453348,-0.010767425,4.1816463
10,20,-20,0,250,-1000,-31.411415,295.25452,55.846939,95.709251,392.7439,-15.002018,377.74188,0.70580232,10.529034,-0.043123301,7.5781875
11,20,-20,0,500,-0.01,76.205917,-15.796974,38.977745,-1.8965969,89.362335,-9.4043903,79.957947,-2.7579951,-0.31516698,0.016567364,-2.328366
12,20,-20,0,500,-250,74.616814,-13.582476,39.603691,2.3852706,97.193405,-9.793829,87.399567,-2.7365744,-0.17896602,0.007089592,-2.2829041
13,20,-20,0,500,-500,69.214561,56.809753,40.249119,18.217842,177.72144,-11.569738,166.1517,-2.6481693,2.584219,0.001441684,-0.43674231
14,20,-20,0,500,-750,51.121094,162.99106,48.324486,50.746838,299.09152,-14.545238,284.54626,-2.2891755,6.3465261,-0.006750166,2.7586279
15,20,-20,0,500,-1000,24.879778,296.4321,68.755447,95.867111,462.93655,-19.486099,443.45047,-1.6395537,11.020156,-0.005535561,6.6606164
16,20,-20,0,750,-0.01,171.2278,-34.809872,88.060799,-2.305243,203.7011,-21.484268,182.21684,-6.1094933,-0.65031856,0.030251518,-4.8036704
17,20,-20,0,750,-250,168.14946,-38.31596,89.136742,4.3130217,207.67207,-21.936535,185.73552,-6.0624881,-0.83308935,0.011812376,-4.79741
18,20,-20,0,750,-500,168.73383,11.728702,87.524864,9.6416025,263.83307,-22.436525,241.39661,-6.0866508,1.2851871,0.019667163,-3.8821576
19,20,-20,0,750,-750,156.50279,128.09143,91.710335,35.742569,398.58945,-24.979702,373.60977,-5.8898368,5.6591935,-0.022537515,-0.49044138
20,20,-20,0,750,-1000,132.86374,284.52393,100.95934,84.932381,577.70673,-29.087627,548.61914,-5.4559002,11.221923,-0.023936462,3.962842
21,20,-20,0,1000,-0.01,303.00311,-62.045975,156.4848,-3.0445008,359.72293,-38.356129,321.36682,-10.762241,-1.1086251,0.052281275,-8.2851534
22,20,-20,0,1000,-250,298.67776,-52.287601,160.78171,5.7052717,381.87299,-38.93261,342.94037,-10.688015,-0.6433863,0.016325001,-7.0549669
23,20,-20,0,1000,-500,299.32529,-48.088322,160.42998,7.9697456,396.00296,-39.307629,356.69531,-10.716414,-0.60062188,0.026844395,-8.345026
24,20,-20,0,1000,-750,294.69156,70.295677,161.1223,23.63559,524.26434,-40.980904,483.28348,-10.649391,4.1266665,0.050228577,-5.2015953
25,20,-20,0,1000,-1000,277.92749,232.82491,166.22438,62.227222,715.37762,-44.212307,671.16522,-10.385674,10.113776,0.018024649,-0.85066444
26,20,-20,2.5,0.01,-0.01,-1.8940283,-1.7722093,-3.813781,-0.99910623,-8.8940392,-0.88550991,-9.7795496,0.051949635,-0.037545107,-0.001783492,-0.018292703
27,20,-20,2.5,0.01,-250,-3.8286242,14.228089,-3.1952515,1.1147512,7.1959658,-2.9583583,4.2376065,0.10024966,0.59412122,0.006951878,0.4175137
28,20,-20,2.5,0.01,-500,-10.909645,68.800079,-1.9141104,12.614123,63.231518,-8.0288286,55.202698,0.27918881,2.5938847,0.007131826,1.9531797
29,20,-20,2.5,0.01,-750,-23.407028,162.30254,5.1000404,37.138344,168.96066,-16.273895,152.68677,0.59497553,5.9210329,-0.002829494,4.47577
30,20,-20,2.5,0.01,-1000,-40.643642,293.49612,18.672348,74.048988,324.30228,-26.956221,297.3461,1.0310311,10.533041,-0.016883465,7.9578433
31,20,-20,2.5,250,-0.01,16.139135,-5.6926284,0.62491983,-2.8075616,5.8056154,-4.7386727,1.0669434,-0.64357752,-0.11041836,0.004560207,-0.52406722
32,20,-20,2.5,250,-250,14.528458,8.8873739,-0.12907632,-0.38836384,21.391684,-5.7842765,15.607409,-0.61398131,0.52903569,-1.96E-05,-0.10623205
33,20,-20,2.5,250,-500,3.3208065,71.979561,3.7195692,9.2457809,82.238609,-10.701268,71.537338,-0.34067005,2.7752168,0.009954803,1.7238472
34,20,-20,2.5,250,-750,-15.639204,170.71344,10.836892,33.313858,185.81558,-18.324883,167.49071,0.21245302,6.1954846,-0.007261368,4.4094782
35,20,-20,2.5,250,-1000,-35.872654,302.96252,27.069822,66.898666,337.68668,-29.311729,308.37497,0.83191997,10.807375,-0.029945342,7.9015627
36,20,-20,2.5,500,-0.01,79.544022,-19.089697,16.08128,-6.5171585,60.670597,-14.902135,45.768471,-2.8340616,-0.35615233,-0.013450034,-2.2158775
37,20,-20,2.5,500,-250,77.955391,-14.691722,15.1123,-3.4695158,68.142014,-15.582596,52.559422,-2.8127723,-0.16344057,0.000639094,-2.1560204
38,20,-20,2.5,500,-500,69.072624,51.156166,15.353491,7.7237873,136.94524,-18.584631,118.36061,-2.6585648,2.4723675,0.012908181,-0.3266584
39,20,-20,2.5,500,-750,48.910366,160.58354,24.859854,29.052742,249.79286,-25.487822,224.30504,-2.2280173,6.3183866,0.009699988,3.041554
40,20,-20,2.5,500,-1000,21.921247,305.26379,45.77948,60.536804,408.79236,-36.117794,372.67456,-1.5482142,11.262836,-0.005289687,6.8570786
41,20,-20,2.5,750,-0.01,180.70525,-39.968552,51.453861,-8.1722641,163.55257,-31.389215,132.16335,-6.3499179,-0.72812504,-0.013295433,-5.0301256
42,20,-20,2.5,750,-250,177.82692,-36.677967,50.873501,-2.9890895,171.14334,-32.395031,138.74829,-6.3146768,-0.65748239,0.020852296,-4.509737
43,20,-20,2.5,750,-500,175.47624,9.9430656,49.681301,2.5500424,223.1454,-33.980289,189.16512,-6.279345,1.3250561,0.016822552,-3.8800292
44,20,-20,2.5,750,-750,159.483,125.35468,51.640984,24.913624,347.50775,-38.265587,309.24219,-6.0075331,5.7560134,0.034319028,-0.51339501
45,20,-20,2.5,750,-1000,133.20755,279.33688,60.483696,61.168903,511.73715,-46.255348,465.48184,-5.4964681,11.174193,-0.004520414,4.2027283
46,20,-20,2.5,1000,-0.01,323.66229,-69.30661,105.05692,-12.488453,310.70328,-52.814304,257.88901,-11.257009,-1.2487853,-0.012529112,-8.9695072
47,20,-20,2.5,1000,-250,319.61069,-53.958824,104.97843,-4.0829854,333.41919,-54.378517,279.04068,-11.210507,-0.47617394,0.011603456,-7.319592
48,20,-20,2.5,1000,-500,319.44174,-43.299957,103.81734,-1.4011028,352.52603,-54.797764,297.7283,-11.214204,-0.25369683,0.029321529,-8.4002666
49,20,-20,2.5,1000,-750,308.84781,71.381432,104.18431,19.152122,477.22437,-59.279793,417.94458,-11.046786,4.3399816,0.061601158,-5.4576139
50,20,-20,2.5,1000,-1000,286.88528,230.23386,108.36977,51.061081,651.60999,-64.225296,587.3847,-10.672457,10.318773,0.081648089,-0.83217973
51,20,-20,5,0.01,-0.01,-7.6501155,-7.3436551,-27.993504,0.2968573,-44.031857,0.18198597,-43.849873,0.19397068,-0.14498326,0.027110238,0.10044618
52,20,-20,5,0.01,-250,-10.334482,2.2416272,-28.229492,-1.1321639,-38.596039,-2.429091,-41.025131,0.26452211,0.31633249,0.051834147,0.48015419
